Employee ID,Skill Gap,Time Gap,Will Gap
1,3.496714153011233,3.7783610761666377,1.092192442122609
2,2.861735698828815,2.4488142836714664,2.1396149892204983
3,3.6476885381006925,2.181801116577693,2.586394466578356
4,4.523029856408026,2.996625542589048,4.887687657340191
5,2.765846625276664,2.8298153774750716,3.556553124533758
6,2.7658630430508193,2.5467719506727247,1.6645184309001086
7,4.5792128155073915,3.6963874474567153,3.486036289417637
8,3.767434729152909,3.9553052085705107,1.4526960110616345
9,2.530525614065048,3.0884068862918475,4.082691053887073
10,3.5425600435859645,4.477530081055262,2.5288753481821216
11,2.5365823071875377,1.858310885866495,2.906363811260829
12,2.534270246429743,2.806340540720282,4.32579664754219
13,3.241962271566034,2.283177679397195,1.71283643141575
14,1.086719755342202,1.13346338292694,1.6028818148870088
15,1.2750821674869672,2.9173193141573006,2.416400673653995
16,2.437712470759027,2.8782524916167165,4.038378851019317
17,1.9871688796655762,4.5134497432421306,1.4806539245231576
18,3.314247332595274,3.6308116845547778,1.0
19,2.091975924478789,1.975813175670795,2.548841141591001
20,1.5876962986647085,4.854092566334188,3.5517407999109203
21,4.465648768921554,4.221033695525353,4.2002617497388295
22,2.774223699513464,3.582097703468616,2.536838637914601
23,3.0675282046879238,2.773515901150168,2.5885733928839976
24,1.5752518137865432,2.0405607632765204,4.153900734255747
25,2.4556172754748173,2.627793223928947,1.1302583003045794
26,3.1109225897098662,4.088748619704186,2.611479224816991
27,1.8490064225776972,4.884586305934609,3.1904238899250577
28,3.375698018345672,4.543243528272189,3.4492187212850345
29,2.3993613100811952,2.511150578213726,2.4901933068091173
30,2.708306250206723,1.8803825667109888,3.0344410117058414
31,2.398293387770603,3.140886246911204,1.0
32,4.852278184508938,1.2315606344371484,2.3417515876661517
33,2.986502775262066,3.3231677141847813,3.4535087125544672
34,1.9422890710440996,2.8523974137013313,2.0177059657453205
35,3.822544912103189,2.5339634981317576,3.0589842215895975
36,1.7791563500289778,1.4052969327332046,3.446872500802698
37,3.2088635950047553,3.5136001065697164,2.657450799142235
38,1.0403298761202244,2.4672991603380887,3.170463770996571
39,1.6718139511015695,1.830083164289712,2.0372674347153876
40,3.1968612358691235,1.0,2.7933887203039536
41,3.7384665799954107,2.9724850949493637,3.6102161695892225
42,3.1713682811899706,4.772251596669744,3.1569729609684343
43,2.8843517176117595,4.66125921454787,2.4134687304360645
44,2.6988963044107113,2.5429037434137283,3.224216404290793
45,1.5214780096325726,2.3977879396382193,3.714609790636618
46,2.2801557916052912,3.4687742560750237,1.0
47,2.5393612290402126,2.0016145608117086,4.159074064955898
48,4.057122226218915,3.3017918998194657,2.663745261318928
49,3.3436182895684614,3.76608027838469,3.42548993324023
50,1.236959844637266,4.226933223884307,4.197246923645228
51,3.324083969394795,2.899845923520047,1.628326302769534
52,2.6149177195836835,2.796326249823034,2.2905589975724534
53,2.3230779996940414,2.122017413243439,2.7114513041242954
54,3.6116762888408678,2.17311964596014,2.2162464788755716
55,4.030999522495951,2.7735211080984734,4.734936575836809
56,3.931280119116199,3.367365506816178,2.143227906173207
57,2.1607824767773613,3.9135846262332494,2.4444532205131333
58,2.6907876241487854,2.196821049319655,3.2043890316029766
59,3.331263431403564,4.4926885689595215,1.7978504739239112
60,3.975545127122359,2.728876398957431,2.6043192882437363
61,2.52082576215471,2.978632705651564,3.3174532612501753
62,2.814341023336183,2.2527883208521766,2.667139595617489
63,1.8936650259939718,1.0,2.9066131411000518
64,1.8037933759193292,3.8840453963610497,2.4706678875516292
65,3.812525822394198,3.7368438970924336,1.485529690819233
66,4.356240028570823,2.7186724428817866,3.3215932113392386
67,2.927989878419666,3.066990717224872,4.754933071647241
68,4.003532897892024,3.5159392177040996,3.0184016307834383
69,3.361636025047634,1.4374541431134573,3.2252641172475496
70,2.3548802453948756,2.4709473226537053,3.6927227551168595
71,3.361395605508414,3.7942646796218273,1.7306695034533008
72,4.538036566465969,1.7457105768307506,4.702514658129606
73,2.9641739608900486,3.293557932166629,3.202328796422802
74,4.564643655814006,1.643418195376595,4.631856899089109
75,1.0,3.4664299824335263,2.266967004476011
76,3.821902504375224,2.9643585177025162,4.818061922557825
77,3.087047068238171,1.3848681840944905,3.775155494034783
78,2.7009926495341325,4.164739354457171,3.5530400858523583
79,3.0917607765355024,2.2654084232019507,3.234024454353148
80,1.0124310853991072,2.189747562985619,2.7514713819255507
81,2.780328112162488,3.200569197230943,4.2005316584738726
82,3.3571125715117462,4.148637349428715,3.140359869848047
83,4.477894044741516,1.984178181021603,1.0329302964128477
84,2.4817297817263526,3.061679849847972,1.8828135382929976
85,2.1915063971068123,3.428816500330573,2.8141542478072528
86,2.4982429564154636,3.693105607263144,3.309998983165555
87,3.915402117702074,3.176441555277225,2.9434115111001042
88,3.3287511096596845,2.632972160916678,4.218970789793663
89,2.470239796232961,2.1724097793512804,1.0488981359613752
90,3.513267433113356,3.0861438830463745,3.14358793650516
91,3.0970775493480405,1.927860988014393,1.1820207746128453
92,3.9686449905328893,1.0,3.759712295484168
93,2.2979469061226476,3.436559804157668,2.905541285557997
94,2.6723378534022317,3.9039348410861954,3.419609972024118
95,2.6078918468678425,1.0,2.136117039410234
96,1.5364850518678814,1.9902692952900625,4.279464931657751
97,3.296120277064576,3.619154261005198,4.041724664058851
98,3.261055272179889,5.0,3.5835443030118874
99,3.005113456642461,3.020793707675408,2.8704827531365593
100,2.765412866624853,2.2719970587708653,3.579857285295132
101,1.5846292579495858,2.81710355889516,2.293107432012651
102,2.579354677234641,4.374876419148185,3.855555659020712
103,2.6572854834732307,2.3540358208754646,4.649480894323921
104,2.197722730778381,2.2008079933497466,4.070610559979186
105,2.838714288333991,2.5172564778179676,2.2703975301925903
106,3.4040508568145382,2.0466713917412878,3.361417317273103
107,4.88618590121053,3.1226703159947955,1.7068584562413522
108,3.174577812831839,4.62467845846956,3.572390311175676
109,3.2575503907227645,3.3230792731160292,3.450603412862539
110,2.925554084233833,2.7476464978737125,1.130183660467836
111,1.0812287847009585,2.708188731084456,1.8382161560876362
112,2.9734861245507833,1.436809191303343,2.7168611032562326
113,3.0602302099410266,3.883109777147159,2.699140252859174
